Mineral(s)	Lacustrine/Marine	Evaporitic / playa	Metamorphic	Hydrothermal	Pedogenic /diagenic /weathering (include secondary coatings)	Igneous (include carbonatites)	Biogenic
perchlorate	0	1	0	0	0	0	0
peroxide	0	0	0	0	0	0	0
phlogopite	0	0	1	1	0	1	0
pigeonite	0	0	0	0	0	1	0
pinnoite	1	1	0	0	0	0	0
pitchlimonite	0	0	0	0	1	0	0
plastic	0	0	0	0	0	0	0
polyhalite	0	1	0	0	0	0	0
portlandite	0	1	1	1	0	0	0
prehnite	0	0	0	1	0	0	0
propylzone	0	0	0	1	1	0	0
pvc	0	0	0	0	0	0	1
pyridine	0	0	0	0	0	0	0
pyrite	0	0	1	0	1	1	0
pyrolusite	1	0	0	0	1	0	0
pyrophyllite	0	0	1	1	0	0	0
quartz	0	0	0	1	0	1	0
rhodochrosite	0	0	0	1	0	0	0
rhodonite	0	0	1	1	0	0	0
richterite	0	0	1	1	0	0	0
riebeckite	0	0	1	1	0	0	0
rivadavite	0	1	0	1	0	0	0
roscoelite	0	0	0	1	1	0	0
rutile	0	0	0	0	0	1	0
samarium_oxide	0	0	0	0	1	1	0
saponite	1	0	0	1	1	0	0
saponite_or_talc	1	0	0	1	1	0	0
schwertmannite	0	0	0	0	1	0	0
sepiolite	0	1	0	0	0	0	0
serpentine	0	0	1	1	0	0	0
siderite	0	1	0	1	1	0	0
smaragdite	0	0	1	0	0	1	0
smectite	1	1	1	1	1	0	0
snow	0	0	0	0	0	0	0
sphalerite	0	0	0	1	0	1	0
starkeyite	0	1	0	0	0	0	0
staurolite	0	0	1	0	0	0	0
strontinite	0	0	0	1	0	0	0
sulfur	0	0	1	0	0	1	1
syngenite	1	1	1	0	1	0	1
szomolnokite	1	0	0	0	1	0	0
talc	0	0	1	1	0	0	0
tce	0	0	0	0	0	0	0
thuringite	0	0	1	1	0	0	0
toluene	0	0	0	0	0	0	0
topaz	0	0	0	0	0	1	0
tremolite	0	0	1	0	0	0	0
tremolite_or_talc	0	0	1	0	0	0	0
trichlor; montmorillonite	0	0	0	0	0	0	0
ulexite	0	1	0	0	0	0	0
uralite	0	0	1	0	0	1	0
vegetation	0	0	0	0	0	0	1
water	0	0	0	0	0	0	0
witherite	0	0	0	1	0	0	0
wollastonite	0	0	1	0	0	0	0
zoisite	0	0	1	0	0	0	0
zunyite	0	0	1	1	0	0	0
